Day,Time,Area1,Area2,Area3,Area4,Area5
2,0:15,0.859997494,0.202556237,0.057275,0.032857143,0.742101501
2,0:30,0.788613257,0.179856851,0.02655,0.041428571,0.712365976
2,0:45,0.648173105,0.191513292,0.025225,0.022857143,0.568834882
2,1:00,0.751360104,0.14406953,0.01945,0,0.492923517
2,1:15,0.835603029,0.14591002,0.050775,0,0.608148678
2,1:30,0.869363698,0.168609407,0.12795,0,0.639456755
2,1:45,0.936937954,0.16605317,0.08145,0.04,0.709792709
2,2:00,0.963343242,0.164928425,0.04065,0.044285714,0.59799857
2,2:15,0.999090309,0.161758691,0.038275,0.027142857,0.51922802
2,2:30,0.856545714,0.136503067,0.029725,0.05,0.553967119
2,2:45,0.714001119,0.130572597,0.0184,0.041428571,0.534953538
2,3:00,0.647114777,0.178834356,0,0.032857143,0.559971408
2,3:15,0.653623495,0.26799591,0,0.027142857,0.62301644
2,3:30,0.701354097,0.300102249,0,0.045714286,0.58084346
2,3:45,0.552724849,0.352351738,0,0.081428571,0.579556826
2,4:00,0.67985005,0.392638037,0,0.088571429,0.5768406
2,4:15,0.806975251,0.429038855,0,0.114285714,0.496354539
2,4:30,0.745803881,0.46993865,0,0.057142857,0.500214439
2,4:45,0.549907332,0.503067485,0.0128875,0.028571429,0.524517513
2,5:00,0.657539309,0.511860941,0.025775,0.014285714,0.477340958
2,5:15,0.387877285,0.5099182,0.065175,0.007142857,0.490064332
2,5:30,0.535884483,0.470756646,0.058325,0.040714286,0.464331665
2,5:45,0.565253091,0.478220859,0.086075,0.074285714,0.417726948
2,6:00,0.663836362,0.528629857,0.14425,0.024285714,0.365832738
2,6:15,0.871744937,0.602147239,0.16645,0.007142857,0.408291637
2,6:30,0.734585602,0.639059305,0.239325,0,0.4077198
2,6:45,0.544298192,0.681083845,0.203775,0,0.361401001
2,7:00,0.423331279,0.692331288,0.17415,0,0.368406004
2,7:15,0.439206202,0.630879346,0.157075,0.008571429,0.315796998
2,7:30,0.562713103,0.590899796,0.1559,0.022857143,0.32494639
2,7:45,0.565253091,0.618711656,0.214575,0.028571429,0.261043603
2,8:00,0.451271144,0.597852761,0.4112,0.035714286,0.279628306
2,8:15,0.455874871,0.568404908,0.499825,0.017142857,0.355968549
2,8:30,0.394968083,0.45603272,0.521975,0.044285714,0.37498213
2,8:45,0.21843894,0.367893661,0.451525,0.062857143,0.408863474
2,9:00,0.087206244,0.377505112,0.30395,0.075714286,0.311365261
2,9:15,0.025399877,0.394478528,0.407125,0.037142857,0.231879914
2,9:30,0.016086589,0.380470348,0.603275,0.011428571,0.19413867
2,9:45,0.089428733,0.32704499,0.5864,0.041428571,0.1961401
2,10:00,0.061012621,0.273619632,0.478475,0.078571429,0.160972123
2,10:15,0.096413699,0.269529652,0.4999,0.111428571,0.195139385
2,10:30,0.119908585,0.272188139,0.442575,0.144285714,0.1922802
2,10:45,0.074030057,0.309202454,0.4706,0.214285714,0.202430307
2,11:00,0.051381834,0.293558282,0.388275,0.36,0.157398142
2,11:15,0.070960906,0.27791411,0.28155,0.468571429,0.159399571
2,11:30,0.092656634,0.174233129,0.213075,0.434285714,0.181272337
2,11:45,0.131867693,0.100408998,0.31655,0.312857143,0.19042173
2,12:00,0.134248932,0.068200409,0.419775,0.228571429,0.193280915
2,12:15,0.12985687,0.022392638,0.376425,0.201428571,0.172980701
2,12:30,0.141339731,0.025460123,0.55165,0.187142857,0.173552538
2,12:45,0.130544783,0.048875256,0.83855,0.322857143,0.13838456
2,13:00,0.109642801,0.085787321,0.99325,0.277142857,0.116511794
2,13:15,0.090857476,0.110327198,0.814596154,0.415714286,0.099785561
2,13:30,0.108425724,0.148875256,0.80385,0.437142857,0.116940672
2,13:45,0.104721575,0.179652352,0.7413,0.448571429,0.189706934
2,14:00,0.124776895,0.156850716,0.784625,0.362857143,0.262902073
2,14:15,0.143138889,0.132617587,0.748975,0.395714286,0.232165833
2,14:30,0.084190008,0.108179959,0.703175,0.427142857,0.179556826
2,14:45,0.06588093,0.089877301,0.735075,0.41,0.131093638
2,15:00,0.084877921,0.065132924,0.618575,0.385714286,0.110221587
2,15:15,0.05630306,0.070245399,0.503975,0.395714286,0.103216583
2,15:30,0.075352968,0.084969325,0.4141,0.321428571,0.084203002
2,15:45,0.101917005,0.101226994,0.37715,0.315714286,0.058041458
2,16:00,0.093344547,0.115848671,0.4259,0.285714286,0.065618299
2,16:15,0.107949476,0.120552147,0.40355,0.294285714,0.051036455
2,16:30,0.129327706,0.122801636,0.262175,0.304285714,0.047891351
2,16:45,0.10583282,0.136400818,0.156075,0.304285714,0.042172981
2,17:00,0.089534566,0.146421268,0.0953,0.331428571,0.009149392
2,17:15,0.046672274,0.153476483,0.09695,0.334285714,0.0038599
2,17:30,0.043814787,0.180674847,0.115075,0.328571429,0.013581129
2,17:45,0.010636198,0.239161554,0.221625,0.328571429,0.035453896
2,18:00,0.013811183,0.256646217,0.2997,0.307142857,0.087348106
2,18:15,0.017779914,0.287730061,0.340625,0.327142857,0.042172981
2,18:30,0.019949487,0.322392638,0.332675,0.441428571,0.028162974
2,18:45,0.029368607,0.311656442,0.34415,0.59,0.070335954
2,19:00,0.035612744,0.322494888,0.377925,0.66,0.05761258
2,19:15,0.046936856,0.332208589,0.529625,0.597142857,0.068048606
2,19:30,0.053868905,0.334560327,0.73485,0.547142857,0.030164403
2,19:45,0.051276001,0.380572597,0.706325,0.482857143,0.041458184
2,20:00,0.060377624,0.422597137,0.88915,0.52,0.030164403
2,20:15,0.065933847,0.382617587,0.444575,0.515714286,0.004431737
2,20:30,0.045084781,0.365644172,0.2222875,0.49,0
2,20:45,0.001217077,0.385889571,0.11114375,0.475714286,0.001286633
2,21:00,0,0.393660532,0.055571875,0.53,0
2,21:15,0,0.440695297,0.491448438,0.558571429,0
2,21:30,0,0.442842536,0.927325,0.501428571,0
2,21:45,0.022277809,0.431288344,0.7946125,0.478571429,0
2,22:00,0.011906192,0.403374233,0.6619,0.444285714,0.002859185
2,22:15,0.007143715,0.380981595,0.64125,0.462857143,0
2,22:30,0.027304868,0.33599182,0.559975,0.438571429,0
2,22:45,0.024976545,0.296114519,0.518225,0.454285714,0
2,23:00,0.015398675,0.267893661,0.790525,0.442857143,0
2,23:15,0.004233313,0.248466258,0.61725,0.461428571,0
2,23:30,0,0.226584867,0.529225,0.462857143,0
2,23:45,0,0.222290389,0.52925,0.485714286,0
3,0:00,0,0.186912065,0.3845,0.431428571,0
3,0:15,0,0.168507157,0.293125,0.408571429,0
3,0:30,0,0.161349693,0.232625,0.412857143,0
3,0:45,0,0.130265849,0.336425,0.411428571,0
3,1:00,0,0.116257669,0.35515,0.414285714,0
3,1:15,0,0.110122699,0.4386,0.434285714,0.009864189
3,1:30,0,0.096421268,0.66285,0.43,0.049463903
3,1:45,0,0.08803681,0.6852,0.457142857,0.062473195
3,2:00,0,0.05797546,0.777175,0.455714286,0.109363831
3,2:15,0,0.050920245,0.586375,0.467142857,0.132094353
3,2:30,0,0.052453988,0.68645,0.478571429,0.178699071
3,2:45,0,0.046830266,0.7571,0.457142857,0.274338813
3,3:00,0,0.036503067,0.877175,0.48,0.394710508
3,3:15,0,0.029652352,0.716825,0.425714286,0.505503931
3,3:30,0,0.044785276,0.5601,0.421428571,0.678198713
3,3:45,0,0.059304703,0.524,0.377142857,0.797569693
3,4:00,0,0.083231084,0.43195,0.355714286,0.840028592
3,4:15,0,0.087525562,0.37505,0.298571429,0.868477484
3,4:30,0,0.072903885,0.28845,0.288571429,0.919799857
3,4:45,0,0.049591002,0.226425,0.245714286,0.888205861
3,5:00,0,0.03190184,0.2067,0.211428571,0.818441744
3,5:15,0,0.026687117,0.14705,0.165714286,0.573266619
3,5:30,0,0.019734151,0.127675,0.134285714,0.407290922
3,5:45,0,0.010633947,0.1276,0.122857143,0.331665475
3,6:00,0,0.006952965,0.112225,0.141428571,0.352966405
3,6:15,0,0.014519427,0.0642,0.138571429,0.298641887
3,6:30,0,0.030163599,0.053375,0.122857143,0.213867048
3,6:45,0,0.019836401,0.0826,0.131428571,0.207433881
3,7:00,0,0.011349693,0,0.141428571,0.374124375
3,7:15,0,0.007361963,0.056925,0.117142857,0.491208006
3,7:30,0,0.011042945,0.138225,0.088571429,0.465046462
3,7:45,0,0.005828221,0.1081,0.085714286,0.414295926
3,8:00,0,0.006952965,0,0.037142857,0.33266619
3,8:15,0,0,0,0.032857143,0.435596855
3,8:30,0,0,0,0.025714286,0.487205147
3,8:45,0,0,0,0.014285714,0.508506076
3,9:00,0,0,0,0.007142857,0.646318799
3,9:15,0,0,0,0,0.599142244
3,9:30,0,0,0,0,0.547390994
3,9:45,0,0,0,0,0.46161544
3,10:00,0,0,0,0,0.465046462
3,10:15,0,0,0,0,0.421015011
3,10:30,0,0,0,0,0.410864904
3,10:45,0,0,0,0,0.544102931
3,11:00,0,0,0,0,0.499785561
3,11:15,0,0.007157464,0,0,0.706933524
3,11:30,0,0.01400818,0,0,0.651179414
3,11:45,0,0.013599182,0,0,0.818727663
3,12:00,0,0.022188139,0,0,0.817726948
3,12:15,0,0.048159509,0,0,0.863330951
3,12:30,0,0.075153374,0,0,0.762973553
3,12:45,0,0.085685072,0,0,0.789849893
3,13:00,0.001481659,0.080163599,0,0,0.890922087
3,13:15,0.047571853,0.077607362,0,0,0.923230879
3,13:30,0.063393859,0.072597137,0,0,0.949678342
