Day,Time,Area1,Area2,Area3,Area4,Area5
4,20:00,0.863605948,0.80767024,0.837865377,0.831311661,0.780679216
4,21:00,0.841582293,0.792823346,0.834489065,0.835485786,0.832832891
4,22:00,0.761260728,0.773027489,0.830268676,0.83026813,0.824421008
4,23:00,0.639482872,0.734260601,0.775403616,0.819832817,0.805914865
4,0:00,0.524182561,0.707041296,0.755145748,0.784352753,0.789932287
5,1:00,0.44758889,0.658191314,0.73692917,0.749075006,0.715753211
5,2:00,0.432518682,0.652594271,0.735292692,0.749075006,0.661118888
5,3:00,0.419960176,0.639001452,0.720564395,0.747051833,0.621162443
5,4:00,0.404889968,0.634203986,0.719746156,0.74502866,0.607300003
5,5:00,0.416192624,0.664587935,0.722200872,0.743005487,0.585283186
5,6:00,0.448844741,0.696571038,0.750839228,0.74806342,0.562450932
5,7:00,0.534242586,0.707765124,0.752475705,0.756156111,0.569789871
5,8:00,0.585732463,0.705366392,0.772931674,0.768421454,0.584467749
5,9:00,0.705038277,0.73255203,0.781114061,0.772720601,0.62931682
5,10:00,0.731411141,0.739748228,0.803206507,0.775714992,0.657857138
5,11:00,0.759039855,0.740547805,0.782750538,0.773353081,0.68476658
5,12:00,0.71131753,0.734151185,0.802388268,0.76222563,0.722276713
5,13:00,0.667362757,0.698170193,0.792569403,0.761214044,0.751632468
5,14:00,0.672386159,0.710963435,0.786841732,0.764248803,0.753263343
5,15:00,0.666106906,0.713362167,0.768022241,0.764248803,0.729615651
5,16:00,0.668618607,0.711763012,0.742656841,0.768295149,0.713306898
5,17:00,0.726387738,0.73575034,0.759021615,0.778411013,0.720645837
5,18:00,0.775365914,0.7621364,0.794205881,0.808758607,0.714937774
5,19:00,0.836902597,0.798916969,0.817934804,0.801677502,0.720645837
5,20:00,0.82434409,0.782925417,0.812207133,0.799654329,0.756525094
5,21:00,0.802994629,0.768533021,0.808934178,0.803700675,0.807082229
5,22:00,0.725131887,0.749343159,0.804842984,0.798642743,0.798927852
5,23:00,0.607081925,0.711763012,0.751657467,0.788526878,0.780988224
5,0:00,0.495311216,0.685376952,0.732019737,0.754132938,0.765494908
6,1:00,0.383738798,0.60964433,0.682606731,0.678934795,0.662397838
6,2:00,0.369779027,0.6044597,0.681090836,0.678934795,0.611789202
6,3:00,0.358145884,0.591868457,0.667447782,0.677060698,0.574776916
6,4:00,0.344186112,0.587424489,0.666689834,0.675186601,0.561935919
6,5:00,0.354655941,0.61556962,0.668963677,0.673312504,0.541541394
6,6:00,0.384902113,0.645196074,0.695491838,0.677997747,0.520391516
6,7:00,0.464007485,0.655565333,0.697007733,0.685494135,0.527189691
6,8:00,0.511703372,0.653343349,0.715956419,0.696407359,0.540786041
